product_id,brand,product_name,price,processor,processor_brand,cpu_ghz,ram_gb,ram_expandable,ram_max_gb,ram_type,display_type,display_inches,gpu_name,gpu_brand,gpu_vram_gb,ssd_gb,hdd_gb,adapter_w,battery_hours,os,raw_name
LAP0001,HP,HP Chromebook 11A-NA0002MU (2E4N0PA) Laptop (11.6 Inch | MediaTek Octa Core | 4 GB | Google Chrome |),239.73,MediaTek Octa-core,MediaTek,2.0,4.0,False,4.0,DDR4 RAM,LED,11.6,Integrated Graphics,MediaTek,,64.0,0.0,45.0,12.0,Chrome OS,HP Chromebook 11A-NA0002MU (2E4N0PA) Laptop (11.6 Inch | MediaTek Octa Core | 4 GB | Google Chrome |)::585119::computer::laptops
LAP0002,Lenovo,Lenovo Ideapad Slim 3 (82KU017KIN) Laptop (15.6 Inch | AMD Hexa Core Ryzen 5 | 8 GB | Windows 11 | 512 GB SSD),378.4,AMD Hexa-Core Ryzen 5,AMD,4.0,8.0,True,12.0,DDR4 RAM,LCD,15.6,Radeon,AMD,,512.0,0.0,65.0,11.0,Windows 11,Lenovo Ideapad Slim 3 (82KU017KIN) Laptop (15.6 Inch | AMD Hexa Core Ryzen 5 | 8 GB | Windows 11 | 512 GB SSD)::594497::computer::laptops
LAP0003,Dell,Dell G15-5520 (D560822WIN9B) Laptop (15.6 Inch | Core i5 12th Gen | 16 GB | Windows 11 | 512 GB SSD),818.56,Intel Core i5 (12th Gen),Intel,3.3,16.0,True,32.0,DDR5 RAM,LCD,15.6,"GeForce RTX 3050 GPU, 4 GB",NVIDIA,4.0,512.0,0.0,56.0,10.0,Windows 11,Dell G15-5520 (D560822WIN9B) Laptop (15.6 Inch | Core i5 12th Gen | 16 GB | Windows 11 | 512 GB SSD)::595299::computer::laptops
LAP0004,HP,HP 15s-fy5007TU (91R03PA) Laptop (15.6 Inch | Core i5 12th Gen | 8 GB | Windows 11 | 512 GB SSD),578.62,Intel Core i5 (12th Gen),Intel,4.2,8.0,True,8.0,DDR4 RAM,LCD,15.6,Iris Xe,Intel,,512.0,0.0,,7.3,Windows 11,HP 15s-fy5007TU (91R03PA) Laptop (15.6 Inch | Core i5 12th Gen | 8 GB | Windows 11 | 512 GB SSD)::616095::computer::laptops
LAP0005,Infinix,Infinix Inbook Y2 Plus XL29 Laptop (15.6 Inch | Core i3 11th Gen | 8 GB | Windows 11 | 512 GB SSD),229.3,Intel Core i3 (11th Gen),Intel,1.7,8.0,False,8.0,LPDDR4X RAM,LCD,15.6,UHD,Intel,,512.0,0.0,45.0,8.0,Windows 11,Infinix Inbook Y2 Plus XL29 Laptop (15.6 Inch | Core i3 11th Gen | 8 GB | Windows 11 | 512 GB SSD)::615700::computer::laptops
LAP0006,Acer,Acer One 14 Z8-415 (UN.599SI.020) Laptop (14 Inch | Core i5 11th Gen | 16 GB | Windows 11 | 512 GB SSD),364.86,Intel Core i5 (11th Gen) Processor,Intel,,16.0,True,32.0,DDR4 RAM,LCD,14.0,Iris Xe,Intel,,512.0,0.0,45.0,,Windows 11,Acer One 14 Z8-415 (UN.599SI.020) Laptop (14 Inch | Core i5 11th Gen | 16 GB | Windows 11 | 512 GB SSD)::616145::computer::laptops
LAP0007,HP,HP 14s-fq1092AU (50M60PA) Laptop (14 Inch | AMD Hexa Core Ryzen 5 | 8 GB | Windows 11 | 512 GB SSD),517.19,AMD Hexa-Core Ryzen 5,AMD,4.0,8.0,True,16.0,DDR4 RAM,LCD,14.0,Radeon,AMD,,512.0,0.0,65.0,9.0,Windows 11,HP 14s-fq1092AU (50M60PA) Laptop (14 Inch | AMD Hexa Core Ryzen 5 | 8 GB | Windows 11 | 512 GB SSD)::594309::computer::laptops
LAP0008,Acer,Acer One 14 Z8-415 (UN.599SI.018) Laptop (14 Inch | Core i5 11th Gen | 8 GB | Windows 11 | 512 GB SSD),417.0,Intel Core i5 (11th Gen),Intel,2.5,8.0,True,32.0,DDR4 RAM,LCD,14.0,Iris Xe,Intel,,512.0,0.0,45.0,,Windows 11,Acer One 14 Z8-415 (UN.599SI.018) Laptop (14 Inch | Core i5 11th Gen | 8 GB | Windows 11 | 512 GB SSD)::616155::computer::laptops
LAP0009,Lenovo,Lenovo Ideapad S145 (81VD008PIN) Laptop (15.6 Inch | Core i3 8th Gen | 4 GB | DOS | 1 TB HDD),345.27,Intel Core i3 (8th Gen),Intel,2.2,4.0,True,12.0,DDR4 RAM,LED,15.6,UHD 620,Intel,,0.0,1024.0,45.0,,DOS,Lenovo Ideapad S145 (81VD008PIN) Laptop (15.6 Inch | Core i3 8th Gen | 4 GB | DOS | 1 TB HDD)::579826::computer::laptops
LAP0010,ASUS,ASUS TUF Gaming F15 FX506HF-HN075W Laptop (15.6 Inch | Core i5 11th Gen | 8 GB | Windows 11 | 512 GB SSD),510.84,Intel Core i5 (11th Gen),Intel,2.9,8.0,False,8.0,DDR4 RAM,LCD,15.6,"GeForce RTX 2050 GPU, 4 GB",NVIDIA,4.0,512.0,0.0,150.0,,Windows 11,ASUS TUF Gaming F15 FX506HF-HN075W Laptop (15.6 Inch | Core i5 11th Gen | 8 GB | Windows 11 | 512 GB SSD)::613032::computer::laptops
LAP0011,Lenovo,Lenovo LOQ 15APH8 (82XT004JIN) Laptop (15.6 Inch | AMD Octa Core Ryzen 7 | 16 GB | Windows 11 | 512 GB SSD),969.66,AMD Octa-Core Ryzen 7,AMD,3.4,16.0,True,16.0,DDR5 RAM,LCD,15.6,"GeForce RTX 4050 GPU, 6 GB",NVIDIA,6.0,512.0,0.0,170.0,9.5,Windows 11,Lenovo LOQ 15APH8 (82XT004JIN) Laptop (15.6 Inch | AMD Octa Core Ryzen 7 | 16 GB | Windows 11 | 512 GB SSD)::612854::computer::laptops
